#it  sec   n_start     n_end   insert   find_+   find_-   errors 
  0   0         0    500000  129.767   23.433   23.615        0 
  0   1    500000   1000000   116.01   35.215   41.019        0 
  0   2   1000000   1500000  132.103   34.547   28.921        0 
  0   3   1500000   2000000  107.815   32.009   33.546        0 
  0   4   2000000   2500000  111.208   34.485   37.364        0 
  0   5   2500000   3000000  110.659   40.485   45.663        0 
  0   6   3000000   3500000  124.779   47.104   54.046        0 
  0   7   3500000   4000000  141.952   55.996   89.824        0 
  0   8   4000000   4500000  132.228   69.591   80.348        0 
  0   9   4500000   5000000  154.387   80.677  101.161        0 
  1   0         0    500000   87.405   22.748   24.145        0 
  1   1    500000   1000000   96.832   25.748   26.586        0 
  1   2   1000000   1500000   99.536   29.975    30.62        0 
  1   3   1500000   2000000   97.992   32.784   34.421        0 
  1   4   2000000   2500000  104.404   37.267   38.062        0 
  1   5   2500000   3000000  106.134   41.215   48.019        0 
  1   6   3000000   3500000  130.048   52.581    65.16        0 
  1   7   3500000   4000000  135.241   56.956   66.329        0 
  1   8   4000000   4500000  116.375    69.33   74.264        0 
  1   9   4500000   5000000    149.3   81.518  106.734        0 
  2   0         0    500000   82.506   23.578   23.292        0 
  2   1    500000   1000000  101.009   26.394     27.3        0 
  2   2   1000000   1500000   98.638   33.593   30.278        0 
  2   3   1500000   2000000   99.766   39.085   33.217        0 
  2   4   2000000   2500000  104.767   35.373   38.836        0 
  2   5   2500000   3000000  102.888   42.915   47.658        0 
  2   6   3000000   3500000   114.36   46.449   55.953        0 
  2   7   3500000   4000000  122.784   66.622       71        0 
  2   8   4000000   4500000  139.242   72.171   89.758        0 
  2   9   4500000   5000000  138.888   84.991   97.904        0 
  3   0         0    500000   88.738   22.759    24.16        0 
  3   1    500000   1000000   93.912   25.526   26.314        0 
  3   2   1000000   1500000   97.246   29.836   30.363        0 
  3   3   1500000   2000000   100.57   32.382   34.594        0 
  3   4   2000000   2500000  103.547   35.752   39.654        0 
  3   5   2500000   3000000   102.82   39.941   44.737        0 
  3   6   3000000   3500000  111.465   46.909   53.113        0 
  3   7   3500000   4000000  111.048   55.113   63.064        0 
  3   8   4000000   4500000  121.051   77.417   78.379        0 
  3   9   4500000   5000000  146.621   93.566  109.002        0 
  4   0         0    500000   85.848   22.278   22.758        0 
  4   1    500000   1000000   90.367   25.039   25.658        0 
  4   2   1000000   1500000   95.619   27.922   29.224        0 
  4   3   1500000   2000000   99.294   31.418   33.588        0 
  4   4   2000000   2500000   101.06   34.081   38.377        0 
  4   5   2500000   3000000  101.592   39.706   45.057        0 
  4   6   3000000   3500000  155.304    68.94   73.943        0 
  4   7   3500000   4000000  161.898   67.635   88.471        0 
  4   8   4000000   4500000  155.413    73.48   89.328        0 
  4   9   4500000   5000000  180.152   98.304  128.316        0 
