#it  sec   n_start     n_end   insert   find_+   find_-   errors 
  0   0         0    500000   72.952    9.121    7.947        0 
  0   1    500000   1000000   82.568    9.047    9.451        0 
  0   2   1000000   1500000   87.686   13.231   10.595        0 
  0   3   1500000   2000000   90.082   11.933   12.133        0 
  0   4   2000000   2500000   92.495   14.332   15.668        0 
  0   5   2500000   3000000   100.32    16.11   16.701        0 
  0   6   3000000   3500000   98.566   20.584   19.634        0 
  0   7   3500000   4000000  103.155    24.31   23.936        0 
  0   8   4000000   4500000  110.094   31.775   31.839        0 
  0   9   4500000   5000000  107.814   40.513   41.851        0 
  1   0         0    500000   65.234    7.528    8.138        0 
  1   1    500000   1000000   68.829    8.633    8.941        0 
  1   2   1000000   1500000   74.574    9.943   10.537        0 
  1   3   1500000   2000000   80.468   11.605   11.906        0 
  1   4   2000000   2500000   74.455   13.351   13.598        0 
  1   5   2500000   3000000    77.67   19.134   15.757        0 
  1   6   3000000   3500000   82.808   19.287    19.21        0 
  1   7   3500000   4000000   85.548   24.249   25.358        0 
  1   8   4000000   4500000   92.465   31.161   30.372        0 
  1   9   4500000   5000000  101.361   39.254   42.231        0 
  2   0         0    500000   63.491    7.721    8.052        0 
  2   1    500000   1000000   69.026    8.639    9.003        0 
  2   2   1000000   1500000   72.121   10.232    10.49        0 
  2   3   1500000   2000000   80.249   11.454   11.795        0 
  2   4   2000000   2500000   75.007   13.227   13.594        0 
  2   5   2500000   3000000   78.269   19.486   15.799        0 
  2   6   3000000   3500000   82.243   19.023   20.573        0 
  2   7   3500000   4000000   87.506    24.98   24.838        0 
  2   8   4000000   4500000   90.201   33.371   34.381        0 
  2   9   4500000   5000000   99.065   39.891   40.937        0 
  3   0         0    500000   63.836    8.192    8.123        0 
  3   1    500000   1000000   69.995    8.841    9.177        0 
  3   2   1000000   1500000   72.674   10.476   10.803        0 
  3   3   1500000   2000000    80.68   11.688   11.851        0 
  3   4   2000000   2500000   75.248   13.765   16.794        0 
  3   5   2500000   3000000   78.831    19.63   16.065        0 
  3   6   3000000   3500000   83.476   19.221   18.965        0 
  3   7   3500000   4000000   86.668   24.739   25.671        0 
  3   8   4000000   4500000   88.512    30.75   30.419        0 
  3   9   4500000   5000000   99.324   40.832   41.467        0 
  4   0         0    500000   71.854    9.783   10.491        0 
  4   1    500000   1000000   89.571    8.171    8.151        0 
  4   2   1000000   1500000   85.826   13.973    14.64        0 
  4   3   1500000   2000000   80.498   11.726   11.571        0 
  4   4   2000000   2500000   75.264   16.771   13.429        0 
  4   5   2500000   3000000   81.458   15.757   16.464        0 
  4   6   3000000   3500000   82.472   19.547    23.05        0 
  4   7   3500000   4000000   86.573   24.123   22.645        0 
  4   8   4000000   4500000   91.675   30.172   32.545        0 
  4   9   4500000   5000000   92.927   40.463   40.567        0 
