#it  sec   n_start     n_end   insert   find_+   find_-   errors 
  0   0         0    500000   98.669    7.045     8.75        0 
  0   1    500000   1000000   92.822    8.643   12.123        0 
  0   2   1000000   1500000  110.849    17.13   18.414        0 
  0   3   1500000   2000000  122.498   13.991   15.661        0 
  0   4   2000000   2500000  106.515   13.425   15.367        0 
  0   5   2500000   3000000   95.106   15.531   16.172        0 
  0   6   3000000   3500000   97.918   20.373   21.062        0 
  0   7   3500000   4000000  108.248   29.685   28.156        0 
  0   8   4000000   4500000  104.488   39.311   36.399        0 
  0   9   4500000   5000000  104.041   52.058   50.536        0 
  1   0         0    500000   65.729    7.946    8.165        0 
  1   1    500000   1000000   72.394    9.071      9.4        0 
  1   2   1000000   1500000   72.169    11.75   10.769        0 
  1   3   1500000   2000000   76.369   11.538   12.245        0 
  1   4   2000000   2500000   84.953   15.427   14.537        0 
  1   5   2500000   3000000   83.676    16.33   17.199        0 
  1   6   3000000   3500000   87.432   20.555   21.541        0 
  1   7   3500000   4000000   86.526   26.979   26.673        0 
  1   8   4000000   4500000   88.305   41.934   39.122        0 
  1   9   4500000   5000000   95.317   58.956   52.238        0 
  2   0         0    500000   62.451    7.827    8.067        0 
  2   1    500000   1000000   70.143     8.97    9.294        0 
  2   2   1000000   1500000    75.18   10.109   10.794        0 
  2   3   1500000   2000000   74.403   12.177   12.085        0 
  2   4   2000000   2500000   78.487   13.276   14.035        0 
  2   5   2500000   3000000   77.014   16.316   17.196        0 
  2   6   3000000   3500000   79.491   20.024   21.779        0 
  2   7   3500000   4000000   84.792   27.897   26.328        0 
  2   8   4000000   4500000    93.35   38.481   35.102        0 
  2   9   4500000   5000000   93.694   54.118   48.003        0 
  3   0         0    500000   78.841    6.755    7.816        0 
  3   1    500000   1000000   85.879    7.722    13.16        0 
  3   2   1000000   1500000   84.235   11.987   13.308        0 
  3   3   1500000   2000000   78.529   11.121   13.991        0 
  3   4   2000000   2500000    84.19   14.233   14.834        0 
  3   5   2500000   3000000     93.9   16.984   19.586        0 
  3   6   3000000   3500000   88.006   20.749   20.309        0 
  3   7   3500000   4000000   91.414   28.267   26.217        0 
  3   8   4000000   4500000  103.081   39.832   38.957        0 
  3   9   4500000   5000000   94.353   54.254   49.142        0 
  4   0         0    500000   75.447    6.798    7.557        0 
  4   1    500000   1000000   75.242    7.752    9.598        0 
  4   2   1000000   1500000   81.418   10.339   11.119        0 
  4   3   1500000   2000000   79.727   10.936   14.631        0 
  4   4   2000000   2500000   81.536   13.095     13.6        0 
  4   5   2500000   3000000   84.809   16.371   16.366        0 
  4   6   3000000   3500000   90.961   22.716   20.693        0 
  4   7   3500000   4000000   79.925   29.436   26.555        0 
  4   8   4000000   4500000   90.232   40.395   35.672        0 
  4   9   4500000   5000000   93.556   55.418   49.789        0 
