#it  sec   n_start     n_end   insert   find_+   find_-   errors 
  0   0         0    500000   97.612   86.627   77.478        0 
  0   1    500000   1000000  110.293   96.857   75.255        0 
  0   2   1000000   1500000  124.442  102.222   90.759        0 
  0   3   1500000   2000000  135.419  117.388  107.112        0 
  0   4   2000000   2500000  191.268  145.845  132.413        0 
  0   5   2500000   3000000  201.104  174.891  169.026        0 
  0   6   3000000   3500000  229.337  248.615   268.11        0 
  0   7   3500000   4000000  520.877  426.351   385.07        0 
  0   8   4000000   4500000  552.961  414.685  583.529        0 
  0   9   4500000   5000000   812.78  694.925  923.934        0 
  1   0         0    500000  111.456   96.217   75.965        0 
  1   1    500000   1000000  117.477  112.337   85.233        0 
  1   2   1000000   1500000  118.168  105.671   93.163        0 
  1   3   1500000   2000000  137.341  126.441  110.265        0 
  1   4   2000000   2500000   141.35  132.719  134.606        0 
  1   5   2500000   3000000  172.686   162.82  158.108        0 
  1   6   3000000   3500000  211.291  199.069  202.209        0 
  1   7   3500000   4000000  267.521  265.387   277.37        0 
  1   8   4000000   4500000  450.717  359.276  458.609        0 
  1   9   4500000   5000000  677.239  681.985  758.864        0 
  2   0         0    500000  151.868   102.91   68.251        0 
  2   1    500000   1000000  161.641  112.552   96.409        0 
  2   2   1000000   1500000  158.765  109.484  109.468        0 
  2   3   1500000   2000000  161.025  147.407  123.818        0 
  2   4   2000000   2500000  166.427  153.048  130.149        0 
  2   5   2500000   3000000  176.211  176.052  163.487        0 
  2   6   3000000   3500000  214.129  190.388  199.251        0 
  2   7   3500000   4000000  262.186  254.695  264.512        0 
  2   8   4000000   4500000  371.879  351.069  422.898        0 
  2   9   4500000   5000000  580.018  538.098  669.315        0 
  3   0         0    500000  107.452   87.265   71.196        0 
  3   1    500000   1000000  124.213  100.861   84.368        0 
  3   2   1000000   1500000  126.807  122.665   98.038        0 
  3   3   1500000   2000000  169.197  140.063  125.231        0 
  3   4   2000000   2500000  177.972  158.268  157.022        0 
  3   5   2500000   3000000  182.902  157.871  166.045        0 
  3   6   3000000   3500000  241.117  247.958  261.645        0 
  3   7   3500000   4000000  322.079  298.993  298.192        0 
  3   8   4000000   4500000  393.574  347.733  413.248        0 
  3   9   4500000   5000000  547.169  535.336  689.341        0 
  4   0         0    500000    86.37   83.715   65.807        0 
  4   1    500000   1000000  100.007   98.507   72.553        0 
  4   2   1000000   1500000  107.266    114.7   84.286        0 
  4   3   1500000   2000000  124.732  115.293  104.286        0 
  4   4   2000000   2500000  139.693  146.613  129.091        0 
  4   5   2500000   3000000  190.639   154.12  157.759        0 
  4   6   3000000   3500000  209.536  192.367  196.016        0 
  4   7   3500000   4000000  269.675  247.294  268.022        0 
  4   8   4000000   4500000  356.267  340.256  397.403        0 
  4   9   4500000   5000000  540.213  535.951  660.251        0 
