#it  sec   n_start     n_end   insert   find_+   find_-   errors 
  0   0         0    500000  129.283   22.234   23.522        0 
  0   1    500000   1000000  149.488   20.705   27.335        0 
  0   2   1000000   1500000  130.988   22.781   40.676        0 
  0   3   1500000   2000000   146.98   22.198   38.969        0 
  0   4   2000000   2500000  154.791   29.925   45.081        0 
  0   5   2500000   3000000  180.846   28.863    57.89        0 
  0   6   3000000   3500000  197.249   31.357   69.144        0 
  0   7   3500000   4000000  213.362   32.887    79.65        0 
  0   8   4000000   4500000  227.907   35.578   83.365        0 
  0   9   4500000   5000000  247.951   36.302   95.301        0 
  1   0         0    500000   86.145   17.813   18.674        0 
  1   1    500000   1000000   98.463   19.982   25.792        0 
  1   2   1000000   1500000  116.449   22.218   32.259        0 
  1   3   1500000   2000000  127.132   24.949   38.406        0 
  1   4   2000000   2500000  142.023   26.746   44.635        0 
  1   5   2500000   3000000  157.613   29.205   57.661        0 
  1   6   3000000   3500000  168.757    30.44    63.86        0 
  1   7   3500000   4000000  181.405   32.778   75.368        0 
  1   8   4000000   4500000  195.623   34.456   86.741        0 
  1   9   4500000   5000000  242.104   35.638   93.243        0 
  2   0         0    500000   80.781   17.227   19.124        0 
  2   1    500000   1000000   93.462   26.787   24.718        0 
  2   2   1000000   1500000  122.251   21.993   33.192        0 
  2   3   1500000   2000000  132.066   23.669   38.891        0 
  2   4   2000000   2500000   143.45   26.268   44.344        0 
  2   5   2500000   3000000  152.923   30.418   56.514        0 
  2   6   3000000   3500000  168.891   30.934   65.682        0 
  2   7   3500000   4000000  182.969   34.441    75.72        0 
  2   8   4000000   4500000  198.445   39.322   88.285        0 
  2   9   4500000   5000000  212.876   37.778   97.421        0 
  3   0         0    500000   87.307   18.054   19.863        0 
  3   1    500000   1000000   98.942   20.702    25.91        0 
  3   2   1000000   1500000  117.937   22.458    33.12        0 
  3   3   1500000   2000000  128.192    25.07   38.596        0 
  3   4   2000000   2500000  145.173    26.31   45.675        0 
  3   5   2500000   3000000   154.82   29.451   57.232        0 
  3   6   3000000   3500000  169.262   31.302   66.691        0 
  3   7   3500000   4000000  185.765   28.683  101.149        0 
  3   8   4000000   4500000  197.461   33.591   85.628        0 
  3   9   4500000   5000000  218.932   36.814  100.176        0 
  4   0         0    500000   87.137   18.065   18.906        0 
  4   1    500000   1000000  102.027    24.22    26.32        0 
  4   2   1000000   1500000  120.871   22.867   33.297        0 
  4   3   1500000   2000000  131.239   26.152   40.586        0 
  4   4   2000000   2500000  146.286   28.934   47.693        0 
  4   5   2500000   3000000  160.115   31.186   60.035        0 
  4   6   3000000   3500000  192.684   25.617   77.115        0 
  4   7   3500000   4000000  187.624   35.611   82.252        0 
  4   8   4000000   4500000  221.333   44.673   73.942        0 
  4   9   4500000   5000000  220.523   42.794   86.826        0 
