#it  sec  deg   n_start     n_end   insert      pop   errors 
  0    0    8         0   1000000   19.769  191.668        0 
  0    1    8   1000000   2000000   20.342  253.416        0 
  0    2    8   2000000   3000000   19.989  275.811        0 
  0    3    8   3000000   4000000    20.04  285.068        0 
  0    4    8   4000000   5000000   20.017  298.076        0 
  0    5    8   5000000   6000000   20.043  306.603        0 
  0    6    8   6000000   7000000   20.023  313.238        0 
  0    7    8   7000000   8000000   19.915  322.295        0 
  0    8    8   8000000   9000000   19.846  330.917        0 
  0    9    8   9000000  10000000   19.867  352.771        0 
  1    0    8         0   1000000   20.101  191.511        0 
  1    1    8   1000000   2000000   20.003  252.694        0 
  1    2    8   2000000   3000000   19.844   276.92        0 
  1    3    8   3000000   4000000   19.645  289.107        0 
  1    4    8   4000000   5000000   19.654  299.078        0 
  1    5    8   5000000   6000000   19.662  308.017        0 
  1    6    8   6000000   7000000   19.647  320.852        0 
  1    7    8   7000000   8000000   19.612  362.595        0 
  1    8    8   8000000   9000000   19.541  344.331        0 
  1    9    8   9000000  10000000    19.51  353.222        0 
  2    0    8         0   1000000   20.073  193.526        0 
  2    1    8   1000000   2000000   19.935  251.253        0 
  2    2    8   2000000   3000000   19.855  276.885        0 
  2    3    8   3000000   4000000    19.66  287.322        0 
  2    4    8   4000000   5000000   19.638  297.821        0 
  2    5    8   5000000   6000000   19.632  306.286        0 
  2    6    8   6000000   7000000   19.666  312.998        0 
  2    7    8   7000000   8000000   19.764  324.492        0 
  2    8    8   8000000   9000000   19.621   329.23        0 
  2    9    8   9000000  10000000   19.634  343.028        0 
  3    0    8         0   1000000   20.132  193.928        0 
  3    1    8   1000000   2000000   20.058  252.499        0 
  3    2    8   2000000   3000000   21.091   275.52        0 
  3    3    8   3000000   4000000   19.677  287.288        0 
  3    4    8   4000000   5000000   19.664  299.031        0 
  3    5    8   5000000   6000000   19.775  308.097        0 
  3    6    8   6000000   7000000    19.65  313.887        0 
  3    7    8   7000000   8000000   19.578  324.347        0 
  3    8    8   8000000   9000000   19.627  328.917        0 
  3    9    8   9000000  10000000   19.512  345.149        0 
  4    0    8         0   1000000   19.923  193.447        0 
  4    1    8   1000000   2000000    19.96   251.98        0 
  4    2    8   2000000   3000000   19.873  276.221        0 
  4    3    8   3000000   4000000   19.864  286.628        0 
  4    4    8   4000000   5000000   19.831  298.389        0 
  4    5    8   5000000   6000000   19.619  306.859        0 
  4    6    8   6000000   7000000   19.998  312.436        0 
  4    7    8   7000000   8000000    19.58  323.274        0 
  4    8    8   8000000   9000000    19.49  328.237        0 
  4    9    8   9000000  10000000   19.652  343.133        0 
