#it  sec  deg   n_start     n_end   insert      pop   errors 
  0    0    8         0   1000000    9.382  185.215        0 
  0    1    8   1000000   2000000    9.719  238.342        0 
  0    2    8   2000000   3000000     9.93  254.939        0 
  0    3    8   3000000   4000000    9.436  268.591        0 
  0    4    8   4000000   5000000    9.564  276.343        0 
  0    5    8   5000000   6000000    9.411   286.04        0 
  0    6    8   6000000   7000000    9.423  292.861        0 
  0    7    8   7000000   8000000    9.462  300.648        0 
  0    8    8   8000000   9000000    9.248  312.421        0 
  0    9    8   9000000  10000000     9.29  319.453        0 
  1    0    8         0   1000000    9.823  179.013        0 
  1    1    8   1000000   2000000     9.57  238.254        0 
  1    2    8   2000000   3000000    9.447    265.1        0 
  1    3    8   3000000   4000000    9.761  278.561        0 
  1    4    8   4000000   5000000    9.429  276.127        0 
  1    5    8   5000000   6000000    9.534  285.934        0 
  1    6    8   6000000   7000000    9.385  294.253        0 
  1    7    8   7000000   8000000    9.394  300.854        0 
  1    8    8   8000000   9000000    9.277  310.786        0 
  1    9    8   9000000  10000000    9.539  318.469        0 
  2    0    8         0   1000000    9.262  220.748        0 
  2    1    8   1000000   2000000    10.65  267.471        0 
  2    2    8   2000000   3000000    9.971  267.491        0 
  2    3    8   3000000   4000000    9.388  269.119        0 
  2    4    8   4000000   5000000    9.388  274.754        0 
  2    5    8   5000000   6000000    9.398  286.572        0 
  2    6    8   6000000   7000000    9.512  293.706        0 
  2    7    8   7000000   8000000    9.371  300.352        0 
  2    8    8   8000000   9000000    9.279  308.912        0 
  2    9    8   9000000  10000000    9.302  318.832        0 
  3    0    8         0   1000000   11.125  205.655        0 
  3    1    8   1000000   2000000    9.376  250.055        0 
  3    2    8   2000000   3000000   10.878  257.502        0 
  3    3    8   3000000   4000000    9.982  268.539        0 
  3    4    8   4000000   5000000    9.712   274.98        0 
  3    5    8   5000000   6000000   11.136  285.924        0 
  3    6    8   6000000   7000000    9.766   291.15        0 
  3    7    8   7000000   8000000   10.616  301.067        0 
  3    8    8   8000000   9000000   14.624  335.493        0 
  3    9    8   9000000  10000000   15.722  397.549        0 
  4    0    8         0   1000000   10.261  178.897        0 
  4    1    8   1000000   2000000   10.412  236.217        0 
  4    2    8   2000000   3000000      9.9  255.375        0 
  4    3    8   3000000   4000000    9.915  271.153        0 
  4    4    8   4000000   5000000   10.326  274.091        0 
  4    5    8   5000000   6000000    9.419  285.009        0 
  4    6    8   6000000   7000000    9.979  307.561        0 
  4    7    8   7000000   8000000   10.333  335.372        0 
  4    8    8   8000000   9000000    9.952  334.173        0 
  4    9    8   9000000  10000000    9.639  355.309        0 
