#it  sec  deg   n_start     n_end   insert      pop   errors 
  0    0    8         0   1000000    9.077  206.617        0 
  0    1    8   1000000   2000000   11.134  276.164        0 
  0    2    8   2000000   3000000   11.775  295.319        0 
  0    3    8   3000000   4000000   10.013  315.006        0 
  0    4    8   4000000   5000000   12.843  334.829        0 
  0    5    8   5000000   6000000   12.619  303.599        0 
  0    6    8   6000000   7000000   11.765   312.17        0 
  0    7    8   7000000   8000000    12.87  333.106        0 
  0    8    8   8000000   9000000   12.662  378.372        0 
  0    9    8   9000000  10000000   12.713  403.322        0 
  1    0    8         0   1000000    9.458  205.414        0 
  1    1    8   1000000   2000000   11.071  266.332        0 
  1    2    8   2000000   3000000   11.433  288.838        0 
  1    3    8   3000000   4000000    9.717  285.745        0 
  1    4    8   4000000   5000000    9.832  295.348        0 
  1    5    8   5000000   6000000   10.144  316.115        0 
  1    6    8   6000000   7000000    9.077    317.9        0 
  1    7    8   7000000   8000000   11.756  334.824        0 
  1    8    8   8000000   9000000    8.895  347.126        0 
  1    9    8   9000000  10000000    9.001  376.618        0 
  2    0    8         0   1000000    9.212  190.861        0 
  2    1    8   1000000   2000000    9.359  251.594        0 
  2    2    8   2000000   3000000   10.456  285.185        0 
  2    3    8   3000000   4000000    9.801  295.757        0 
  2    4    8   4000000   5000000    9.269  323.209        0 
  2    5    8   5000000   6000000   10.177  330.351        0 
  2    6    8   6000000   7000000    9.723  316.976        0 
  2    7    8   7000000   8000000    9.008  329.368        0 
  2    8    8   8000000   9000000    9.165  334.762        0 
  2    9    8   9000000  10000000     8.96  352.528        0 
  3    0    8         0   1000000    9.819    211.3        0 
  3    1    8   1000000   2000000    9.974  254.298        0 
  3    2    8   2000000   3000000     9.46  277.996        0 
  3    3    8   3000000   4000000    9.317   289.37        0 
  3    4    8   4000000   5000000    9.082  310.785        0 
  3    5    8   5000000   6000000     9.02  318.639        0 
  3    6    8   6000000   7000000    9.068  326.865        0 
  3    7    8   7000000   8000000    8.985   343.16        0 
  3    8    8   8000000   9000000    8.932   329.76        0 
  3    9    8   9000000  10000000    8.925  339.295        0 
  4    0    8         0   1000000    9.139  218.919        0 
  4    1    8   1000000   2000000    9.991  298.366        0 
  4    2    8   2000000   3000000    9.405  308.038        0 
  4    3    8   3000000   4000000   10.795  335.457        0 
  4    4    8   4000000   5000000    9.042  351.479        0 
  4    5    8   5000000   6000000    9.317  322.885        0 
  4    6    8   6000000   7000000    9.055  340.657        0 
  4    7    8   7000000   8000000    8.993  328.338        0 
  4    8    8   8000000   9000000    9.098  352.243        0 
  4    9    8   9000000  10000000   10.398  361.201        0 
