#it  sec  deg   n_start     n_end   insert      pop   errors 
  0    0    8         0   1000000    17.62  353.005        0 
  0    1    8   1000000   2000000   17.321  442.804        0 
  0    2    8   2000000   3000000   16.803  483.051        0 
  0    3    8   3000000   4000000   16.716  520.567        0 
  0    4    8   4000000   5000000   16.703  535.956        0 
  0    5    8   5000000   6000000   16.595  567.238        0 
  0    6    8   6000000   7000000   16.486  555.831        0 
  0    7    8   7000000   8000000   16.637  565.469        0 
  0    8    8   8000000   9000000   16.411  573.582        0 
  0    9    8   9000000  10000000   16.477  591.229        0 
  1    0    8         0   1000000   18.515  363.756        0 
  1    1    8   1000000   2000000   18.546  440.217        0 
  1    2    8   2000000   3000000   17.376  483.152        0 
  1    3    8   3000000   4000000   16.736  515.256        0 
  1    4    8   4000000   5000000   16.747  536.035        0 
  1    5    8   5000000   6000000   16.599  547.426        0 
  1    6    8   6000000   7000000    16.67  558.248        0 
  1    7    8   7000000   8000000   16.589  566.733        0 
  1    8    8   8000000   9000000    16.74  589.696        0 
  1    9    8   9000000  10000000   16.538  572.868        0 
  2    0    8         0   1000000   20.006  355.203        0 
  2    1    8   1000000   2000000   19.116  437.911        0 
  2    2    8   2000000   3000000   17.948  481.931        0 
  2    3    8   3000000   4000000   17.732  515.189        0 
  2    4    8   4000000   5000000   17.144  537.948        0 
  2    5    8   5000000   6000000   22.229  550.036        0 
  2    6    8   6000000   7000000    16.94  559.049        0 
  2    7    8   7000000   8000000   16.924  569.737        0 
  2    8    8   8000000   9000000    17.04  566.814        0 
  2    9    8   9000000  10000000   16.647  574.961        0 
  3    0    8         0   1000000   18.764  352.267        0 
  3    1    8   1000000   2000000   17.155  440.563        0 
  3    2    8   2000000   3000000    16.99  484.089        0 
  3    3    8   3000000   4000000    16.94  521.415        0 
  3    4    8   4000000   5000000   16.681  535.757        0 
  3    5    8   5000000   6000000   16.663  549.774        0 
  3    6    8   6000000   7000000   16.713  555.629        0 
  3    7    8   7000000   8000000   16.473  565.868        0 
  3    8    8   8000000   9000000   16.607  566.048        0 
  3    9    8   9000000  10000000   16.474  575.266        0 
  4    0    8         0   1000000   17.344  352.884        0 
  4    1    8   1000000   2000000   17.878  447.087        0 
  4    2    8   2000000   3000000   17.318  497.335        0 
  4    3    8   3000000   4000000   16.951  539.299        0 
  4    4    8   4000000   5000000   16.725  572.044        0 
  4    5    8   5000000   6000000   16.733  577.289        0 
  4    6    8   6000000   7000000   16.699  577.046        0 
  4    7    8   7000000   8000000   16.663  569.362        0 
  4    8    8   8000000   9000000   16.432  565.727        0 
  4    9    8   9000000  10000000    16.41   576.42        0 
