#it  sec  deg   n_start     n_end   insert      pop   errors 
  0    0    8         0   1000000   24.327  153.658        0 
  0    1    8   1000000   2000000    24.57  218.873        0 
  0    2    8   2000000   3000000   28.632  242.693        0 
  0    3    8   3000000   4000000   19.602  259.775        0 
  0    4    8   4000000   5000000   36.958  275.559        0 
  0    5    8   5000000   6000000   19.692  281.749        0 
  0    6    8   6000000   7000000   19.582  287.084        0 
  0    7    8   7000000   8000000   19.522  297.394        0 
  0    8    8   8000000   9000000   53.604  303.138        0 
  0    9    8   9000000  10000000   19.538  314.505        0 
  1    0    8         0   1000000   23.717  154.104        0 
  1    1    8   1000000   2000000   23.547  219.188        0 
  1    2    8   2000000   3000000   29.442  242.697        0 
  1    3    8   3000000   4000000   19.506  260.536        0 
  1    4    8   4000000   5000000    36.72  271.753        0 
  1    5    8   5000000   6000000   19.546  282.764        0 
  1    6    8   6000000   7000000   19.514  287.248        0 
  1    7    8   7000000   8000000   19.475  298.074        0 
  1    8    8   8000000   9000000   53.469  302.807        0 
  1    9    8   9000000  10000000   19.513  311.025        0 
  2    0    8         0   1000000   23.712  178.314        0 
  2    1    8   1000000   2000000   23.673  264.981        0 
  2    2    8   2000000   3000000   29.617  273.241        0 
  2    3    8   3000000   4000000   19.867   272.07        0 
  2    4    8   4000000   5000000   36.789  272.968        0 
  2    5    8   5000000   6000000   19.672  293.884        0 
  2    6    8   6000000   7000000   19.562  307.458        0 
  2    7    8   7000000   8000000   19.528   297.47        0 
  2    8    8   8000000   9000000   53.839  301.725        0 
  2    9    8   9000000  10000000   19.522  311.922        0 
  3    0    8         0   1000000   27.262  164.003        0 
  3    1    8   1000000   2000000   27.314  233.847        0 
  3    2    8   2000000   3000000   37.673  250.687        0 
  3    3    8   3000000   4000000   24.745  258.445        0 
  3    4    8   4000000   5000000   44.831  273.203        0 
  3    5    8   5000000   6000000   19.809  281.821        0 
  3    6    8   6000000   7000000   23.077  289.546        0 
  3    7    8   7000000   8000000   22.356  297.231        0 
  3    8    8   8000000   9000000   55.804   317.35        0 
  3    9    8   9000000  10000000   20.285  348.101        0 
  4    0    8         0   1000000   24.809  156.443        0 
  4    1    8   1000000   2000000   23.715  218.653        0 
  4    2    8   2000000   3000000   29.552  246.581        0 
  4    3    8   3000000   4000000   19.836  257.991        0 
  4    4    8   4000000   5000000   36.618  302.449        0 
  4    5    8   5000000   6000000   19.561  310.301        0 
  4    6    8   6000000   7000000   19.714  322.294        0 
  4    7    8   7000000   8000000   19.511  332.079        0 
  4    8    8   8000000   9000000   53.861  344.557        0 
  4    9    8   9000000  10000000    19.52  326.328        0 
